Course Title/Link,subnav,Platform or Site,Time Investment,url
SCINet: Python Programming Collection,Python Programming,AgLearn/LinkedIn,1-3 hrs/course,https://www.linkedin.com/learning-login/share?account=76310346&forceAccount=true&redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Flearning%2Fcollections%2Fenterprise%2F1%7EAAAAAASMZ0o%3D415014%3FshareId=c0cde733-5cfc-45d5-b052-979471c35fa3
Getting Started with Python: Introduction,Python Programming,AgLearn/Skillsoft,1.5 hr,https://aglearn.usda.gov/enrol/index.php?id=48854
Python Fundamentals,Python Programming,AgLearn/Skillsoft,1.5 hrs,https://aglearn.usda.gov/course/view.php?id=42094
Python: the Basics,Python Programming,AgLearn/Skillsoft,~3.5 hrs,https://aglearn.usda.gov/course/view.php?id=36287
Python for Data Science: Introduction to NumPy for Multi-dimentional Data,Python Programming,AgLearn/Skillsoft,1 hr,https://aglearn.usda.gov/course/view.php?id=41666
Python for Data Science: Advanced Operations with NumPy Arrays,Python Programming,AgLearn/Skillsoft,~1 hr,https://aglearn.usda.gov/course/view.php?id=41667
Python for Data Science: Introduction to Pandas,Python Programming,AgLearn/Skillsoft,~1 hr,https://aglearn.usda.gov/course/view.php?id=41668
Python for Data Science: Manipulating and Analyzing Data in Pandas DataFrames,Python Programming,AgLearn/Skillsoft,1 hr,https://aglearn.usda.gov/course/view.php?id=41669
Python for Data Science: Basic Data Visualization Using Seaborn,Python Programming,AgLearn/Skillsoft,~1 hr,https://aglearn.usda.gov/course/view.php?id=41670
Python for Data Science: Advanced Data Visualization Using Seaborn,Python Programming,AgLearn/Skillsoft,~1 hr,https://aglearn.usda.gov/course/view.php?id=41671
Introduction to Data Science Specialization by IBM,Python Programming,Coursera,12 hrs/4wks,https://www.coursera.org/specializations/introduction-data-science
Statistics with Python Specialization,Python Programming,Coursera,7hrs/8wks,https://www.coursera.org/specializations/statistics-with-python
Programming for Everybody (Getting Started with Python),Python Programming,Coursera,13 hrs,https://www.coursera.org/learn/python
Python Basics for Data Science,Python Programming,EdX,2-5 hrs,https://www.edx.org/course/python-basics-for-data-science
Python for Data Science,Python Programming,EdX,8-10hrs/10wks,https://www.edx.org/course/python-for-data-science-2
Python for Research,Python Programming,EdX,3hrs/12wks,https://www.edx.org/course/using-python-for-research
Python: Basic and Advanced Tutorials,Python Programming,Tutorials Point,2+ hrs,https://www.tutorialspoint.com/python/python_variable_types.htm
Python Tutorial for Beginners: Learn Python Programming in 7 days,Python Programming,Guru99,14 hrs,https://www.guru99.com/python-tutorials.html
Python Tutorials,Python Programming,Coding Club,varies,https://ourcodingclub.github.io/tutorials.html
SCINet: R Programming Collection,R Programming,AgLearn/LinkedIn,1-3 hrs/course,https://www.linkedin.com/checkpoint/enterprise/login/76310346?pathWildcard=76310346&application=learning&redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Flearning%2Fcollections%2Fenterprise%2F1%7EAAAAAASMZ0o%3D415016%3Fu%3D76310346
Introduction to R Programming,R Programming,AgLearn/Skillsoft,~2.5 hrs,https://aglearn.usda.gov/mod/scorm/view.php?id=13217
Debugging in R,R Programming,AgLearn/Skillsoft,1 hr,https://aglearn.usda.gov/course/view.php?id=28456
Programming Techniques in R,R Programming,AgLearn/Skillsoft,~2 hrs,https://aglearn.usda.gov/course/view.php?id=28457
Domain-Specific Tools in R,R Programming,AgLearn/Skillsoft,~1 hr,https://aglearn.usda.gov/enrol/index.php?id=28458
R for Data Science: Data Structures,R Programming,AgLearn/Skillsoft,1 hr,https://aglearn.usda.gov/course/view.php?id=41674
R for Data Science: Importing and Exporting Data,R Programming,AgLearn/Skillsoft,1 hr,https://aglearn.usda.gov/course/view.php?id=41675
R for Data Science: Data Exploration,R Programming,AgLearn/Skillsoft,1 hr,https://aglearn.usda.gov/course/view.php?id=41676
R for Data Science: Regression Methods,R Programming,AgLearn/Skillsoft,1 hr,https://aglearn.usda.gov/course/view.php?id=41677
R for Data Science: Classification & Clustering,R Programming,AgLearn/Skillsoft,1 hr,https://aglearn.usda.gov/course/view.php?id=41678
R for Data Science: Data Visualization,R Programming,AgLearn/Skillsoft,1 hr,https://aglearn.usda.gov/course/view.php?id=41679
Advanced R Programming,R Programming,Coursera,12 hrs,https://www.coursera.org/learn/advanced-r
Data Science Specialization,R Programming,Coursera,8 mo; 6 hrs/wk,https://www.coursera.org/specializations/jhu-data-science
Data Science: R Basics,R Programming,EdX,8 wks; 1-2 hrs/wk,https://www.edx.org/course/data-science-r-basics
R Tutorial,R Programming,"Kelly Black, UGA Dept of Mathematics, cyclismo.org",2+ hrs,http://www.cyclismo.org/tutorial/R/
Intro and Advanced R Tutorials,R Programming,"W.B. King, Coastal Carolina Univ., coastal.edu",2+ hrs,http://ww2.coastal.edu/kingw/statistics/R-tutorials/
R Basics Tutorials,R Programming,Coding Club,varies,https://ourcodingclub.github.io/tutorials.html
Learn R and Data Science Interactively with swirl,R Programming,swirlstats,varies,https://swirlstats.com/
"SAS e-learning (Webinars, Academic Software, and How-to Videos",SAS Programming and JMP,sas.com,varies,https://www.sas.com/en_us/learn/academic-programs/resources/free-sas-e-learning.html
How-to SAS video tutorials,SAS Programming and JMP,sas.com,5–10 min videos,https://video.sas.com/category/videos/how-to-tutorials
SAS Programming 1: Essentials,SAS Programming and JMP,sas.com,14 hrs,https://support.sas.com/edu/schedules.html?ctry=us&crs=PROG1
"Statistics 1: Introduction to ANOVA, Regression, and Logistic Regression",SAS Programming and JMP,sas.com,21 hrs,https://support.sas.com/edu/schedules.html?ctry=us&crs=STAT1
SAS Programming for R Users,SAS Programming and JMP,sas.com,14 hrs,https://support.sas.com/edu/schedules.html?ctry=us&crs=SP4R
